transaction_id,sender_account,recipient_account,sender_bank,recipient_bank,timestamp,amount,sender_id,recipient_id
T001,A1,A3,Bank_A,Bank_A,2025-01-01,120.00,S1,S2
T002,A3,B2,Bank_A,Bank_B,2025-01-02,90.00,S2,S3
T004,B3,A4,Bank_B,Bank_A,2025-01-04,60.00,S7,S3
T005,A4,B1,Bank_A,Bank_B,2025-01-05,55.00,S3,S2
T006,B1,A5,Bank_B,Bank_A,2025-01-06,45.00,S2,S4
T007,A2,A3,Bank_A,Bank_A,2025-01-07,80.00,S1,S2
T008,A1,A3,Bank_A,Bank_A,2025-01-08,120.00,S1,S2
T009,A6,B4,Bank_A,Bank_B,2025-01-09,130.00,S5,S8
T010,B4,A7,Bank_B,Bank_A,2025-01-10,95.00,S8,S6
T011,A1,A3,Bank_A,Bank_A,2025-01-11,100.00,S1,S2
T012,A2,A3,Bank_A,Bank_A,2025-01-12,70.00,S1,S2
T013,A3,A4,Bank_A,Bank_A,2025-01-13,65.00,S2,S3
T014,A4,B3,Bank_A,Bank_B,2025-01-14,110.00,S3,S7
T018,B1,A5,Bank_B,Bank_A,2025-01-18,50.00,S2,S4
T019,A5,A6,Bank_A,Bank_A,2025-01-19,45.00,S4,S5
T020,A6,B4,Bank_A,Bank_B,2025-01-20,125.00,S5,S8
T021,A1,A3,Bank_A,Bank_A,2025-01-21,100.00,S1,S2
T022,A2,A3,Bank_A,Bank_A,2025-01-22,70.00,S1,S2
T023,A3,A4,Bank_A,Bank_A,2025-01-23,65.00,S2,S3
T024,A4,B3,Bank_A,Bank_B,2025-01-24,110.00,S3,S7
T028,B1,A5,Bank_B,Bank_A,2025-01-28,50.00,S2,S4
T029,A5,A6,Bank_A,Bank_A,2025-01-29,45.00,S4,S5
T030,A6,B4,Bank_A,Bank_B,2025-01-30,125.00,S5,S8
T031,A1,A3,Bank_A,Bank_A,2025-01-31,100.00,S1,S2
T032,A2,A3,Bank_A,Bank_A,2025-02-01,70.00,S1,S2
T033,A3,A4,Bank_A,Bank_A,2025-02-02,65.00,S2,S3
T034,A4,B3,Bank_A,Bank_B,2025-02-03,110.00,S3,S7
T038,B1,A5,Bank_B,Bank_A,2025-02-07,50.00,S2,S4
T039,A5,A6,Bank_A,Bank_A,2025-02-08,45.00,S4,S5
T040,A6,B4,Bank_A,Bank_B,2025-02-09,125.00,S5,S8
T041,A1,A3,Bank_A,Bank_A,2025-02-10,100.00,S1,S2
T042,A2,A3,Bank_A,Bank_A,2025-02-11,70.00,S1,S2
T043,A3,A4,Bank_A,Bank_A,2025-02-12,65.00,S2,S3
T044,A4,B3,Bank_A,Bank_B,2025-02-13,110.00,S3,S7
T048,B1,A5,Bank_B,Bank_A,2025-02-17,50.00,S2,S4
T049,A5,A6,Bank_A,Bank_A,2025-02-18,45.00,S4,S5
T050,A6,B4,Bank_A,Bank_B,2025-02-19,125.00,S5,S8
